,#,Glycan,Antenna 1,Antenna 2,Antenna 3,Antenna 4,Formula,Monoisotopic mass,Man,Fuc,Bisecting Gn,Host Cell Line,NSa,NGn,NGal,NHex
93,94,A3S2G0F,S-G-Gn-,S-G-Gn-,Gn-,None,C98H159N7O70,2553.91,3,1,0,CHO-N-glycan,2,3,2,2
94,95,A4S2G0,S-G-Gn-,S-G-Gn-,Gn-,Gn-,C100H162N8O71,2610.93,3,0,0,CHO-N-glycan,2,4,2,2
95,96,A4S2G0F,S-G-Gn-,S-G-Gn-,Gn-,Gn-,C106H172N8O75,2756.99,3,1,0,CHO-N-glycan,2,4,2,2
96,97,A3S2G1,S-G-Gn-,S-G-Gn-,G-Gn-,None,C98H159N7O71,2569.9,3,0,0,CHO-N-glycan,2,3,3,3
97,98,A3S2G1F,S-G-Gn-,S-G-Gn-,G-Gn-,None,C104H169N7O75,2715.96,3,1,0,CHO-N-glycan,2,3,3,3
98,99,A4S2G1,S-G-Gn-,S-G-Gn-,G-Gn-,Gn-,C106H172N8O76,2772.98,3,0,0,CHO-N-glycan,2,4,3,3
99,100,A4S2G1F,S-G-Gn-,S-G-Gn-,G-Gn-,Gn-,C112H182N8O80,2919.04,3,1,0,CHO-N-glycan,2,4,3,3
100,101,A4S2G2,S-G-Gn-,S-G-Gn-,G-Gn-,G-Gn-,C112H182N8O81,2935.04,3,0,0,CHO-N-glycan,2,4,4,4
101,102,A4S2G2F,S-G-Gn-,S-G-Gn-,G-Gn-,G-Gn-,C118H192N8O85,3081.09,3,1,0,CHO-N-glycan,2,4,4,4
102,103,A3S3,S-G-Gn-,S-G-Gn-,S-G-Gn-,None,C109H176N8O79,2861,3,0,0,CHO-N-glycan,3,3,3,3
103,104,A3S3F,S-G-Gn-,S-G-Gn-,S-G-Gn-,None,C115H186N8O83,3007.06,3,1,0,CHO-N-glycan,3,3,3,3
104,105,A4S3G0,S-G-Gn-,S-G-Gn-,S-G-Gn-,Gn-,C117H189N9O84,3064.08,3,0,0,CHO-N-glycan,3,4,3,3
105,106,A4S3G0F,S-G-Gn-,S-G-Gn-,S-G-Gn-,Gn-,C123H199N9O88,3210.14,3,1,0,CHO-N-glycan,3,4,3,3
106,107,A4S3G1,S-G-Gn-,S-G-Gn-,S-G-Gn-,G-Gn-,C123H199N9O89,3226.13,3,0,0,CHO-N-glycan,3,4,4,4
107,108,A4S3G1F,S-G-Gn-,S-G-Gn-,S-G-Gn-,G-Gn-,C129H209N9O93,3372.19,3,1,0,CHO-N-glycan,3,4,4,4
108,109,A4S4,S-G-Gn-,S-G-Gn-,S-G-Gn-,S-G-Gn-,C134H216N10O97,3517.23,3,0,0,CHO-N-glycan,4,4,4,4
109,110,A4S4F,S-G-Gn-,S-G-Gn-,S-G-Gn-,S-G-Gn-,C140H226N10O101,3663.29,3,1,0,CHO-N-glycan,4,4,4,4
