nuclide,mass,uncertainty
50Mn,49.95423949,0.000001721
50Fe,49.96299213,0.00006443
51Ca,50.9614215,0.000053852
51Sc,50.95360195,0.000021906
51Ti,50.94661611,0.00000151
51V,50.9439617,0.000001657
51Cr,50.94476839,0.000001667
51Mn,50.94821299,0.000001664
51Fe,50.95682456,0.000016176
51Co,50.970566,0.000215
52Sc,51.957016,0.000322
52Ti,51.94689828,0.000007678
52V,51.94477777,0.000001975
52Cr,51.94050976,0.000001676
52Mn,51.94556805,0.000002594
52Fe,51.94811447,0.000013141
52Co,51.963176,0.000108
53Ti,52.9497292,0.000107418
53V,52.94434005,0.000003723
53Cr,52.9406513,0.000001669
53Mn,52.94129128,0.000001736
53Fe,52.94531019,0.00000233
53Co,52.95422492,0.000019394
53Ni,52.9684278,0.000194207
54Ti,53.951228,0.000322
54V,53.94644191,0.000016189
54Cr,53.93888251,0.000001668
54Mn,53.94036083,0.000001984
54Fe,53.93961275,0.000001534
54Co,53.94846032,0.00000165
54Ni,53.95790972,0.000053702
55V,54.94723576,0.000107367
55Cr,54.94084178,0.000001723
55Mn,54.93804713,0.000001649
55Fe,54.93829591,0.000001537
55Co,54.9420012,0.000001574
55Ni,54.95133635,0.000011923
55Cu,54.966044,0.000322
56V,55.950501,0.000322
56Cr,55.94064287,0.00001032
56Mn,55.93890678,0.000001652
56Fe,55.93493935,0.000001635
56Co,55.93984122,0.000002699
56Ni,55.94213431,0.000011962
56Cu,55.958667,0.000215
57Cr,56.943438,0.000215
57Mn,56.93828501,0.000003654
57Fe,56.93539578,0.000001637
57Co,56.93629366,0.000001656
57Ni,56.93979887,0.00000319
57Cu,56.949139,0.000322
57Zn,56.96499476,0.000139596
58Cr,57.94412,0.000322
58Mn,57.94006057,0.000032248
58Fe,57.93327733,0.000001641
58Co,57.93575504,0.000001965
58Ni,57.93534622,0.000001645
58Cu,57.94453851,0.00000265
58Zn,57.95469134,0.000107366
59Mn,58.94044393,0.000030892
59Fe,58.9348773,0.000001655
59Co,58.93319757,0.000001619
59Ni,58.93434936,0.000001644
59Cu,58.93950299,0.000002229
59Zn,58.94926587,0.000039932
60Mn,59.94321342,0.000107438
60Fe,59.93407763,0.000004249
60Co,59.93381963,0.00000162
60Ni,59.93078835,0.00000162
60Cu,59.93736581,0.000002746
60Zn,59.94183036,0.000011433
61Fe,60.9367484,0.000021538
61Co,60.93247776,0.000001858
61Ni,60.93105792,0.00000163
61Cu,60.93346097,0.000001959
61Zn,60.93951389,0.000017558
61Ga,60.948961,0.00043
62Fe,61.93677277,0.000015633
62Co,61.93405953,0.000020003
62Ni,61.92834613,0.000001646
62Cu,61.93258558,0.000005312
62Zn,61.93433225,0.000010895
62Ga,61.94417765,0.000029963
63Fe,62.94075096,0.000064435
63Co,62.93361364,0.000021538
63Ni,62.92966966,0.000001651
63Cu,62.92959889,0.000001652
63Zn,62.93321363,0.000002345
63Ga,62.93913955,0.000107379
63Ge,62.949123,0.000339
64Co,63.93581182,0.000021538
64Ni,63.92796793,0.000001699
64Cu,63.92976557,0.000001658
64Zn,63.9291448,0.000001861
64Ga,63.93683648,0.000004268
64Ge,63.94157077,0.000268418
65Co,64.93649045,0.000053792
65Ni,64.93008617,0.000001712
65Cu,64.92779287,0.000001982
65Zn,64.92924305,0.000001927
65Ga,64.93273828,0.000002148
65Ge,64.93943897,0.00010737
65As,64.949208,0.000443
66Ni,65.92911607,0.000017514
66Cu,65.92887221,0.000001986
66Zn,65.92603474,0.000001717
66Ga,65.93159029,0.00000365
66Ge,65.93384686,0.000014425
66As,65.94409913,0.000055581
67Ni,66.93157017,0.000020457
67Cu,66.92774744,0.000008761
67Zn,66.92712909,0.000001732
67Ga,66.92820364,0.000001821
67Ge,66.93273657,0.000005293
67As,66.93918852,0.000107484
67Se,66.949698,0.000429
68Ni,67.93184965,0.0000188
68Cu,67.92962259,0.000056079
68Zn,67.92484592,0.000001802
68Ga,67.92798182,0.000002215
68Ge,67.92809639,0.000006798
68As,67.93679203,0.000107569
68Se,67.941945,0.000322
69Ni,68.93509441,0.000214736
69Cu,68.92942518,0.000008657
69Zn,68.92655192,0.000001905
69Ga,68.9255798,0.000003151
69Ge,68.92796872,0.000004143
69As,68.93228085,0.000034002
69Se,68.93956783,0.000042206
69Br,68.949766,0.000538
70Cu,69.93238607,0.000021757
70Zn,69.92532479,0.000003517
70Ga,69.92602772,0.000003244
70Ge,69.92424966,0.000001645
70As,69.9309292,0.000021534
70Se,69.93388142,0.000215784
70Br,69.945046,0.000388
71Cu,70.932558,0.000322
71Zn,70.92772715,0.000011297
71Ga,70.92470055,0.00000245
71Ge,70.92495354,0.000001963
71As,70.92711408,0.000004678
71Se,70.932267,0.000215
71Br,70.939245,0.000322
71Kr,70.950088,0.000455
72Zn,71.92685565,0.000006718
72Ga,71.92636487,0.000002657
72Ge,71.92207886,0.00000158
72As,71.92675455,0.000004645
72Se,71.92711034,0.000012977
72Br,71.936631,0.000215
72Kr,71.94206,0.000259
73Zn,72.92977859,0.000042974
73Ga,72.92516897,0.00000679
73Ge,72.92346261,0.000001571
73As,72.923827,0.000004022
73Se,72.92676842,0.000011462
73Br,72.93168445,0.000272341
73Kr,72.93892375,0.000155643
73Rb,72.949981,0.000663
74Zn,73.92946065,0.000020031
74Ga,73.92694014,0.000075926
74Ge,73.92117739,0.000001527
74As,73.92392804,0.000002354
74Se,73.92247458,0.000001589
74Br,73.92989767,0.000015849
74Kr,73.93328668,0.000062279
74Rb,73.94444396,0.000501259
75Zn,74.93269346,0.000161039
75Ga,74.92649944,0.000007356
75Ge,74.92285841,0.000002298
75As,74.92159416,0.000001736
75Se,74.92252155,0.00000159
75Br,74.92575289,0.000021529
75Kr,74.93102911,0.000021232
75Rb,74.93850662,0.000120988
76Zn,75.93294208,0.000206226
76Ga,75.9286694,0.000161039
76Ge,75.92140157,0.00000168
76As,75.92239336,0.000001912
76Se,75.91921197,0.000001591
76Br,75.92452815,0.000011422
76Kr,75.9259591,0.000012537
76Rb,75.93496184,0.000076587
77Zn,76.936752,0.000304
77Ga,76.928701,0.000215
77Ge,76.92354775,0.000001994
77As,76.92064589,0.000002371
77Se,76.9199125,0.000001597
77Br,76.92137764,0.000003412
77Kr,76.92460883,0.000031005
77Rb,76.93027646,0.00003952
77Sr,76.93785716,0.000162504
78Zn,77.937775,0.000304
78Ga,77.931763,0.000215
78Ge,77.92285269,0.000004108
78As,77.92182955,0.000011226
78Se,77.91730757,0.000001609
78Br,77.92114417,0.000004162
78Kr,77.92039593,0.000008797
78Rb,77.9280913,0.000037477
78Sr,77.931668,0.000322
79Ga,78.93262635,0.000137609
79Ge,78.92535851,0.000107519
79As,78.92094628,0.000005957
79Se,78.91849809,0.000001697
79Br,78.91833613,0.000002587
79Kr,78.92008422,0.000006874
79Rb,78.92395369,0.000028887
79Sr,78.929858,0.000217
79Y,78.93748,0.000538
80Ga,79.93625161,0.000323721
80Ge,79.92551625,0.000032741
80As,79.92252809,0.000025617
80Se,79.91651962,0.00000194
80Br,79.91852832,0.000002582
80Kr,79.91638027,0.00000905
80Rb,79.92251917,0.000020548
80Sr,79.92464708,0.000033386
80Y,79.934309,0.000431
81Ga,80.93775068,0.000206306
81Ge,80.92881886,0.000128963
81As,80.92213073,0.000005975
81Se,80.91799065,0.000002044
81Br,80.91628854,0.000005756
81Kr,80.91658995,0.000005935
81Rb,80.91899029,0.000024376
81Sr,80.9232737,0.000040391
81Y,80.92919551,0.000079037
81Zr,80.93688202,0.000321201
82Ge,81.92981491,0.00015269
82As,81.92476929,0.000026935
82Se,81.91669781,0.000002278
82Br,81.91680204,0.000005757
82Kr,81.91348216,0.000005758
82Rb,81.9181945,0.000018589
82Sr,81.91841433,0.000009174
82Y,81.92680938,0.000097053
82Zr,81.93110352,0.000545471
83Ge,82.934254,0.000429
83As,82.92497842,0.000236211
83Se,82.91911691,0.000003945
83Br,82.91517937,0.000004932
83Kr,82.91413493,0.000003749
83Rb,82.91514388,0.000022644
83Sr,82.9175656,0.000022821
83Y,82.92230097,0.000061303
83Zr,82.92875828,0.000108299
84As,83.929063,0.000323
84Se,83.91846272,0.000015746
84Br,83.91650285,0.000028061
84Kr,83.91150718,0.000003546
84Rb,83.91439004,0.00000394
84Sr,83.91342993,0.000004018
84Y,83.92031129,0.000182545
84Zr,83.923317,0.00037
85As,84.931823,0.00043
85Se,84.92225768,0.000109337
85Br,84.9156125,0.000020731
85Kr,84.91253145,0.000003707
85Rb,84.91179355,0.000003182
85Sr,84.91293703,0.000004127
85Y,84.91643676,0.000011501
85Zr,84.92147486,0.000107968
85Nb,84.928353,0.00043
86Se,85.9242711,0.000144123
86Br,85.91879607,0.000064621
86Kr,85.91061572,0.000005185
86Rb,85.91117201,0.000003139
86Sr,85.9092672,0.000002822
86Y,85.91489253,0.000021655
86Zr,85.916288,0.000216
86Nb,85.925306,0.000323
87Se,86.928389,0.000429
87Br,86.92069192,0.000128929
87Kr,86.91335967,0.0000052
